id,byear,H1a,pre-industrialized society,political event,personal youth,anti-europe,pre-industrialized society,nationalism,solidar society,pre-polarized society,colonialism,sports event
R_1r0OaPXsDp7hYFb,1979,,NA,,,,,,,,,
R_1r2m1EL1Fc7ffHn,1965,?,NA,,,,,,,,,
R_1r60EuV97N8omna,1946,de 60er jaren waar veel mogelijk leek,solidar society,,1,0,0,0,1,0,0,0
R_1r7zgKyyvM39r5e,1961,Het tijdperk Koningin Juliana en Joop den Uyl.Toen was het in ons landje gemoedelijk en was de poltiek duidelijk.,solidar society,,0,0,0,0,1,1,0,0
R_1r851SiTDr2UDYK,1962,Socialere samenleving,solidar society,,0,0,0,0,1,0,0,0
R_1r8iwVQGWA1LTPe,1986,De Jaren 2000-2010,personal youth,,1,0,0,0,0,1,0,0
R_1rAGnMCHsymVij1,1968,"Niet een specifiek moment, maar ik mis bij de politiek/regering de ondernemersmentaliteit die er vroeger in mijn beleving meer, zoals in de tijd van Wiegel.",pre-polarized society,1,0,0,0,0,0,1,0,0
R_1RAxcg0h1pVKINP,1948,Neutral,NA,,,,,,,,,
R_1rCAcQTtSb6q8LP,1947,Val van de muur,solidar society,1,0,0,0,0,1,1,0,0
R_1rDfjr4KOvWtPLB,1948,"geen idee, er is altijd wel iets wat goed gaat, en altijd wel iets wat niet goed gaat",NA,,,,,,,,,
R_1rdJ1dmPUFsVn3I,1971,Jeugd,personal youth,,1,0,0,0,0,0,0,0
R_1re3XT1PPjClA1Z,1968,jaren 90,pre-polarized society,,0,0,0,0,0,1,0,0
R_1reowEkC84JtXu2,1967,Nvt,NA,,,,,,,,,
R_1riCmh6Z0tN9bWK,1959,Jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_1ridKTcc1LYpsZ4,1977,1990,personal youth,,1,0,0,0,0,1,0,0
R_1rIXT3jCORWvQRP,1967,Naar ongeveer 40 jaar geleden toen met 1 salaris een gezin van 4 personen kon rondkomen en ook een woning van gekocht kon worden,solidar society,,0,0,0,0,1,0,0,0
R_1rJo3UIFcE6xOoG,1948,Jaren 60-70,personal youth,,1,0,0,0,1,0,0,0
R_1ro8CVVTBf9nEwv,1966,de jaren 60,personal youth,,1,0,0,0,1,0,0,0
R_1rOKAlRryjGrHQf,1954,jaren 70.,personal youth,,1,0,0,0,1,0,0,0
R_1rOLRW83380Ll4Q,1988,"Voor mij is dat onmogelijk om te zeggen. Wanneer je in een bepaalde periode ""zit"" zal een ander moment beter lijken. In de praktijk zal het vaak zijn dat het moment of de periode waar je in zit nog niet zo slecht is.",NA,,,,,,,,,
R_1rOnakWJML9LQi9,1965,Jaren 80,personal youth,,1,0,0,0,1,0,0,0
R_1roWQElsgNu951i,1972,,NA,,,,,,,,,
R_1rP0phtbd2p5Ji5,1965,Periode na de pest lijkt mij een fasinerende tijd. Veel mogelijkheden weinig mensen. Verder is de huidige tijd prima,pre-industrialized society,,0,0,1,0,0,0,0,0
R_1rqwnk56YNNvRtH,1958,"1989, omwenteling in Eu",anti-europe,,0,0,0,0,1,1,0,0
R_1rxEpJ3gLGHyfwr,1964,Geen,NA,,,,,,,,,
R_1SuohRQSirhHR3r,1944,,NA,,,,,,,,,
R_1TXkvkekiUQLuYV,1952,Vrijheid,NA,,,,,,,,,
R_1X1gO48lG9DTR4t,1945,Moeilijk te beoordelen na de 2 Wereldoorlog,NA,,,,,,,,,
R_1Xq9GidC3iMlQIN,1942,Jaren 60,personal youth,,1,0,0,0,1,0,0,0
R_1Y8qbTtM1B6dgM9,1983,"Het heeft geen nut om naar geschiedenis te verlangen. Is geweest, gaat niet meer gebeuren. Tenminste datgene wat ik verlang.",NA,,,,,,,,,
R_1Yvu8UKgSTbKXnz,1961,"val van de berlijnse muur, einde koude oorlog, tijd vol beloftes.
bestek 81 - tijd van daadkracht. 
overzichtelijk aantal partijen, waardoor zaken voor elkaar kwamen; nu is men vooral met zichzelf en tegen elkaar bezig. mijn vertrouwen is echt gedaald de laatste 2-3 jaar",pre-polarized society,1,0,0,0,0,1,1,0,0
R_1ZCkUHDTyasmUjT,1964,"toen nog niet alle werk, formulieren ed geoutsourced werden naar de burger/klant",pre-industrialized society,,0,0,0,0,1,0,0,0
R_20NfUFZEqwRJN4b,1960,De eenheid die in nederland was bij de eerste coronagolf. Politiek was een eenheid. Medici en farmacie waren een eenheid en het nederlandse volk stond ruim achter de politiiek.,pre-polarized society,1,0,0,0,0,1,1,0,0
R_20NGimJZRp4BFS1,1957,Naar de tijd dat de Europese unie alleen op economisch gebied  invloed op NL had en de naar de tijd voordat woke z'n intrede deed.,anti-europe,,0,1,0,0,0,1,0,0
R_20P5U87dh6IyOzZ,2003,Verlangen naar de geschiedenis is gevaarlijk en zinloos,NA,,,,,,,,,
R_20SSynqTjvVdsot,1947,"Nu is prima, er is altijd wel gedoe.",NA,,,,,,,,,
R_20VuRnRT6su4BP1,1968,Pre corona,pre-polarized society,1,0,0,0,0,0,1,0,0
R_20ZN91DC0PWUeui,1963,Geen. Ik leef nu.,NA,,,,,,,,,
R_210R0UzRpNzYkBi,2000,De Gouden Eeuw.,colonialism,1,0,0,1,1,0,0,1,0
R_214Aif1ajP4oVzq,1961,Geen,NA,,,,,,,,,
R_217BjouLGZaDnzS,1975,Hier en nu,NA,,,,,,,,,
R_21ah8y8ud7uPH5F,1955,jaren 60 met de flowerpower:-),solidar society,,1,0,0,0,1,0,0,0
R_21B1nIKyhjnfLB8,1953,,NA,,,,,,,,,
R_21boYknBeK859wu,1990,schooltijd,personal youth,,1,0,0,0,0,0,0,0
R_21bVa1qlk6iMnyT,1944,Ik kijk liever vooruit dan terug in de tijd. Gedane zaken nemen geen keer.,NA,,,,,,,,,
R_21cUSuBTmXiCRgt,1941,Heropbouw na 2e wereldoorlog,solidar society,1,1,0,0,0,1,0,0,0
R_21G94ubv3jFmmKR,1986,De periode van de lockdown. Van 2021 wat was dat een verademing.,pre-polarized society,1,0,0,0,0,0,1,0,0
R_21GqnScPHlaadUg,1950,,NA,,,,,,,,,
R_21ha1yTbGZKV6gX,1982,,NA,,,,,,,,,
R_21nY70adfJDXgTi,1948,"Dat kinderarbeid niet meer mocht 
Dat ook vrouwen naar de universiteit mochten(Aletta Jacobs)
",solidar society,,0,0,1,0,1,0,0,0
R_21sLxcaCHPdxAas,1973,Alleen van die momenten waar we veel van geleerd hebben en dit ten goede voor de hele gemeenschap / wereld hebben aangewend. Jammer dat we niet hebben doorgepakt. Slechte voorbeelden: privatisering nutsbedrijven / sociale woningbouw/ziekenhuizen/ov. Qua klimaat na de  zuren regen in de jaren 80. Had wellicht klimaat nu op voorsprong kunnen zetten.,solidar society,,0,0,0,0,1,0,0,0
R_21snKvJbY3NLmPV,1966,Geen. Wel zou ik graag zien dat we in de jaren 70 en 80 andere beslissingen zouden hebben genomen,NA,,,,,,,,,
R_21tiZpL2Mo6JgMl,1943,De jaren 50-60 toen was alles nog niet zo gecompliceerd en minder gehaast.,personal youth,,1,0,0,0,1,0,0,0
R_21u0UAB40Ez9ZPX,1968,Niet. We leven nu.,NA,,,,,,,,,
R_21uqCmT1jBUtwW8,2001,eind 19e/begin 20e eeuw,pre-industrialized society,,0,0,1,0,0,0,0,0
R_22DeM4MJRFzDHgs,1979,Dat Nederland Europees kampioen werd.,NA,,,,,,,,,
R_22kOBYdAqROTkbm,1988,Jaren '90.,pre-polarized society,,1,0,0,0,0,1,0,0
R_22LIkMunV4HYna4,1966,"naar de EG en niet naar de EU, waar NL soeverein is",anti-europe,,0,1,0,1,0,0,0,0
R_22P2mWCLmlE1YWh,1989,,NA,,,,,,,,,
R_22Quc7soFgc6HjW,1998,"Dat is een goede vraag. Ik denk naar 100 jaar geleden. Geen technologie, niet volgestampt met buitenlanders maar gewoon lekker oer hollands cultuur. Blij zijn met een bal waar je de hele dag mee buiten speelt",colonialism,,0,0,1,1,0,0,1,0
R_22RBYWChrKgwczC,1953,zondagsrust,solidar society,,1,0,0,0,1,0,0,0
R_22tNGAcnI63BtEq,1962,Geen,NA,,,,,,,,,
R_22ujpDjusscIAc0,1968,Dat er niet geen probleem was m.b.t. vluchtelingen en arbeidsmigranten.,colonialism,,0,0,0,1,0,0,1,0
R_22WwTTmpz9P8lSi,1958,Jaren 80 en 90,pre-polarized society,,0,0,0,0,1,1,0,0
R_22XqnWnDVrt6xRf,1950,Joop den Uijl,solidar society,,0,0,0,0,1,0,0,0
R_2311WH6r8TcBdcS,1947,Naar de tijd dat we repectvol met elkaar omgingen en elkaar niet met woord en daad naar het leven stonden.,pre-polarized society,,0,0,0,0,0,1,0,0
R_232JZYUlFB53gKo,1958,2000,pre-polarized society,,0,0,0,0,0,1,0,0
R_238lLUswjB08vXd,1968,90er jaren als student,personal youth,,1,0,0,0,0,0,0,0
R_2397NtKZXyligJw,1971,Nergens,NA,,,,,,,,,
R_23d8G6wNroy4thH,2004,Gister?,NA,,,,,,,,,
R_23f1RR2XnmNDJRY,2003,"Geen moment, vroeger was het niet beter.",NA,,,,,,,,,
R_240No5tW8UVfxpy,1971,Niet. Ik leef niet in het verleden.,NA,,,,,,,,,
R_2416hkcAUMN85WT,1969,"Voor de fout van de belastingtoeslag, waardoor duizenden mensen diep in de problemen kwamen, wat nog steeds niet rechtgezet is. Diep triest.",solidar society,1,0,0,0,0,1,1,0,0
R_2427m8zm6QSqYht,1972,,NA,,,,,,,,,
R_2428FjHKI7qyrei,1944,geen,NA,,,,,,,,,
R_242ZxqYi4KQ2Tyr,1968,Elfstedentocht,nationalism,,0,0,0,1,0,0,0,1
R_245yV028xwnymUP,1999,,NA,,,,,,,,,
R_24654W21mVDtQ2g,1969,De jaren 80,solidar society,,1,0,0,0,1,0,0,0
R_24A9vpeWtIOGRLL,1953,geen enkel,NA,,,,,,,,,
R_24dHhLuY8UIbdol,1992,"Geen enkel - ik behoor diverse gemarginaliseerde groepen, en zou graag mijn rechten behouden.",NA,,,,,,,,,
R_24GHq3MMJjv55S4,1995,Ik verlang niet terug naar een moment in de geschiedenis. Alle tijden kennen zowel voor- als nadelen.,NA,,,,,,,,,
R_24HSDMmq43TQQKK,1962,de jaren 60 en 70,personal youth,,1,0,0,0,1,0,0,0
R_24hYOMcv2GXeTZy,1963,Eind vorige eeuw,pre-polarized society,,0,0,0,0,0,1,0,0
R_24IepC6pCpphwLH,1942,Huh?,NA,,,,,,,,,
R_24kMEdVSIIC2vZl,1989,,NA,,,,,,,,,
R_24LP37OL2FlyGpn,1983,Voor het verdrag van Lissabon was getekend. Toen we nog de EEG waren.,anti-europe,,0,1,0,0,0,0,0,0
R_24MjC7k6OgTi8zk,2004,,NA,,,,,,,,,
R_24MjYAcBYKnhO9S,1947,.,NA,,,,,,,,,
R_24MmEPyLDxBFo2H,1947,Regering Den Uyl,solidar society,,0,0,0,0,1,0,0,0
R_24N6jljb3sJY9HP,1996,"Voor 11-09-2001, toen las ik nog niet de krant/keek nog geen nieuws.",personal youth,,1,0,0,0,0,1,0,0
R_24NniguzvLl41Vn,1944,geen,NA,,,,,,,,,
R_24O8jeQ7HVORd0F,1962,Dat de overheid luistert naar het inwoners en doet wat ze zegt!,solidar society,,0,0,0,0,1,0,0,0
R_24q6mYBLY96Cz2Q,1953,,NA,,,,,,,,,
R_24qobSzk7u6xt8g,1995,Moment in de geschiedenis? Aparte vraag. Ik zou zeggen voor COVID-19 want ik merk overal om me heen dat Nederland en ook de wereld steeds gepolariseerder wordt en dat zint me niets.,pre-polarized society,1,1,0,0,0,0,1,0,0
R_24tMzTbUWSXcfJC,1995,,NA,,,,,,,,,
R_24uAI5fezEpHBnp,1966,"De periode vlak voor het neoliberalisme vorm begon te krijgen, bv. jaren 70.",solidar society,,1,0,0,0,1,0,0,0
R_24vG7IUQyzyRexD,1957,30er jaren vorige eeuw,nationalism,,0,0,1,1,0,0,0,0
R_251DIXNy7Hc1dhn,1938,Toen ik ging trouwen,personal youth,,1,0,0,0,0,0,0,0
R_25AOGZ4MPFeMJjQ,1962,Jaren 80,personal youth,,1,0,0,0,1,0,0,0
R_25EJY6jwQxYSYOy,1952,Geen enkel moment.,NA,,,,,,,,,
R_25EnyBNkLYKbd3C,1965,Morgen,NA,,,,,,,,,
R_25L9qYYZujbaJ1I,1979,,NA,,,,,,,,,
R_25sgE7nyIj6WvDp,1975,,NA,,,,,,,,,
R_25tFcek0Z6Fquer,1959,De jaren 80,solidar society,,1,0,0,0,1,0,0,0
R_25tGJZsC8kTLqmc,1955,geen,NA,,,,,,,,,
R_25XzEio8SY2WKcC,1965,1990-2000,pre-polarized society,,0,0,0,0,0,1,0,0
R_25Y0Gzq2Auek049,1948,"De tijd dat ambtenaren en semi ambtenaren geen deel mochten uitmaken van de regering zowel 1e, 2e kamer en provinciale staten.",NA,,,,,,,,,
R_25YhV9I8CjBuzHA,1952,rechtvaardigheid en eerlijkheid.,solidar society,,0,0,0,0,0,1,0,0
R_25zS3Avfa47EZry,1976,Geen,NA,,,,,,,,,
R_25zvWQ330eTEjI1,1977,EK 88,NA,,,,,,,,,
R_263VycgkiYEiDeC,1962,,NA,,,,,,,,,
R_264k4HrwemQOiDm,1953,Val van IJzeren Gordijn,solidar society,1,0,0,0,0,1,1,0,0
R_265UrIo86qpqCXA,1944,"Tja, daar vraagt u wat. In welke context dat verlangen te plaatsen? De saamhorigheid? Dan de jaren na de oorlog. De morel en sociale bevrijding? Dan de zestiger en zeventiger jaren. Het optimisme over alles en nog wat? Dan de eeuwwisseling. Maar alles liever dan de slappejanussentijd en het geweeklaag van nu!",solidar society,,1,0,0,0,1,0,0,0
R_266GxMk3evJgSWJ,1952,Toen er meer normen en waarden waren en er meer vertrouwen was in elkaar,pre-polarized society,,0,0,0,0,1,1,0,0
R_268Uv3dqXxlPUqT,1992,,NA,,,,,,,,,
R_26mqMKPp8hoE5qm,1949,geen enkel,NA,,,,,,,,,
R_271LxpnjKNAZ8sM,1958,"dat de nutsbedrijven en het ziekenfonds weer bij de staat horen, en een ieder premie betaald naar zijn inkomen.",solidar society,,0,0,0,0,1,0,0,0
R_271ZtQymknyW7ly,1988,"Morgen, verleden is een vertekend beeld op basis van wat we willen dat we onthouden.",NA,,,,,,,,,
R_278dyoWfXcJa6Bz,1965,Weet ik niet,NA,,,,,,,,,
R_278oZsSBVdi0LOU,1970,Jaren 90.,pre-polarized society,,1,0,0,0,0,1,0,0
R_278xOs9ifF4iB8O,1970,"Eind jaren 80 begin 90. Toen mensen nog normen en waarden hadden, en de wereld nog toekomst bood ipv nu dat ons land gewoon uitverkocht word.",solidar society,,1,0,0,0,1,1,0,0
R_27CZ8mrQxYAFFcR,1990,"Geen. Ik geloof dat herinneringen aan het verleden de positieve kanten uitvergroten, zodat die tijden beter lijken dan ze daadwerkelijk waren. Ik geloof niet dat het vroeger beter was, maar ook niet persee slechter.",NA,,,,,,,,,
R_27fkANxiiuvKbZe,1962,De relatieve rust van de jaren negentig.,pre-polarized society,,0,0,0,0,0,1,0,0
R_27Ha1IIxgdME8Qx,1982,17e en 18e eeuw,pre-industrialized society,,0,0,1,0,0,0,0,0
R_27JNu3X4YVCAxt1,1977,ik leef in het hier en nu,NA,,,,,,,,,
R_27kDDenjn4hhLMf,1981,,NA,,,,,,,,,
R_27my08YwQwkY3oR,1965,tijd vóór de VVD,solidar society,1,0,0,0,0,1,1,0,0
R_27OSmpQSJtctUyn,1952,,NA,,,,,,,,,
R_27PC9v6jwQqTwcF,1956,jaren 80,solidar society,,0,0,0,0,1,0,0,0
R_27QdOmUuLbh8Em3,1997,1815,pre-industrialized society,1,0,0,1,0,0,0,0,0
R_27VgY720h4jsk5d,1975,Val van de Berlijnse Muur / IJzeren Gordijn,solidar society,1,0,0,0,1,1,0,0,0
R_27wdLd1qyyBYgDU,1939,De toespraak van Premier Den Uyl tijdens de oliecrisis.,solidar society,1,0,0,0,0,1,0,0,0
R_27wIvJbGxQQVXqX,1980,,NA,,,,,,,,,
R_27WjuaTKXTVeCaz,1962,EK 1988,NA,,,,,,,,,
R_27WrkENDXMNPdbS,1993,,NA,,,,,,,,,
R_27xLo7zP4uHkOn5,1952,Geen enkel.,NA,,,,,,,,,
R_28AqusXYcs6NGnp,1954,"naar mijn jeugd, jaren '60",personal youth,,1,0,0,0,1,0,0,0
R_28BUfuCB6TFS9Mg,1962,de schepping,pre-industrialized society,,0,0,1,0,0,0,0,0
R_28CeVAg00VqGevQ,2003,,NA,,,,,,,,,
R_28G64vgNLZzwqtq,1999,Jaren 60.,solidar society,,0,0,0,0,1,0,0,0
R_28Mz1WE0jyeCOCZ,1952,elfstedentocht,nationalism,,0,0,0,1,0,0,0,1
R_28OqctKeDHJGKqy,1958,geen verlangen naar het verleden,NA,,,,,,,,,
R_28SAd3lslkr1Fm1,1957,Toen de debatten in de kamer nog normaal werden gevoerd met wederzijds respect.,pre-polarized society,,0,0,0,0,0,1,0,0
R_28U8sZ2NuzoA9Ex,1947,Naar de vermeende rust op internationale politieke verhoudingen in de wereld .,pre-polarized society,,0,0,0,0,0,1,0,0
R_290ag5edVPULA2e,1969,"Jaren 90, paarse kabinet zonder confessionelen.",pre-polarized society,1,0,0,0,0,0,1,0,0
R_290rU8lCfzX3fHC,1955,"Ik zou het niet weten, elke periode heeft zijn positieve en negatieve kanten. De problemen stapelen zich nu wel op!",NA,,,,,,,,,
R_294f4U0C0vgRQJ1,1958,De Tijd voordat het neo liberalisme bepalend werd.,solidar society,1,0,0,0,0,1,0,0,0
R_294gzU0rbXg4fIE,1991,Geen,NA,,,,,,,,,
R_294Y7kucMmPbGzu,1957,Val van de Berlijnse muur,solidar society,1,0,0,0,0,1,1,0,0
R_2966KEH5ZuJvaLn,1976,De EEG.,anti-europe,1,0,1,0,1,0,0,0,0
R_296REfFsJkdEldH,1966,1966,personal youth,,1,0,0,0,1,0,0,0
R_298rqPbv0jbNXq1,1968,"Toen de (medische) zorg nog daadwerkelijk zorg was, er nog bejaardenhuizen bestonden, moeders nog echt moeder waren en kinderen nog echt werden opgevoed, en toen de sociale cohesie nog normaal was en er door de politie gehandhaafd werd.",solidar society,,0,0,0,0,1,0,0,0
R_29aGDujwhXtEEB0,1963,Periode ca 2 jaar na kredietcrisis,solidar society,1,0,0,0,0,0,1,0,0
R_29ai6o3DiD78d6u,1946,,NA,,,,,,,,,
R_29cYqHvxHO9clHw,1963,Toen er nog 5 of minder politieke partijen waren om op  te stemmen. Nu verdoen veel kleine partijen ons belastinggeld.,pre-polarized society,,0,0,0,0,0,1,0,0
R_29depRVg8FG43F7,2001,,NA,,,,,,,,,
R_29gDQEwsFscdtgC,1985,1996,personal youth,,1,0,0,0,0,1,0,0
R_29hlhrMozS1IANO,1964,Jaren '80,personal youth,,1,0,0,0,1,0,0,0
R_29ms5MhOIa6cknh,1971,,NA,,,,,,,,,
R_29s5D2NUf3iT88l,1940,Op dit moment naar de jaren 70.,solidar society,,0,0,0,0,1,0,0,0
R_29sJ9FOQt3oniC3,1982,Jaren 90,pre-polarized society,,1,0,0,0,0,1,0,0
R_29uyTFILmq8yLhJ,1959,Jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_2A0gaC0XmoTheMZ,1977,Naar de gulden en dat de zorg nog goed was geregeld.,solidar society,,0,1,0,1,1,0,0,0
R_2A0xYQQRjJpn1rg,1970,?,NA,,,,,,,,,
R_2a8P5i8b0ANp6ST,1959,Schoolvakantie,personal youth,,1,0,0,0,0,0,0,0
R_2aCYeUUITRX4WH4,1970,"Toen het lichtgetinte, vooral jeugdige, criminele volkje nog niet zo brutaal was en crimineel gedrag toonde. Nederland is zo anders geworden met al die import van buitenlandse mensen. De échte Hollandse gezelligheid is bijna verdwenen, het groeten naar elkaar, vriendelijkheid, nuchterheid, enz., behalve waar alleen nog echte Nederlanders bij elkaar wonen, maar dat veranderd ook langzaam, omdat gemeenten verplicht zijn statushouders ed een huis te geven. Hoe meer er komen, hoe meer de sfeer veranderd, ook al zouden die mensen ontzettend aardig zijn. Het is anders dan met de originele Nederlanders. Kijk maar op de campings. Gemoedelijkheid en een ontspannen sfeer. 
Het klinkt echt heel rascistisch, maar kijk maar het westen. Daar is de 'maatschappij' al zo verhard, drugs speelt daar ook een grote rol en daar zijn ook Oerhollanders in meegesleurd.
En ook zijn er natuurlijk originele Nederlanders die zich niet kunnen gedragen, die moeten ook veel harder gestraft worden. Maar haal je de criminele 'buitenlanders' ertussenuit, dan zouden de gevangenissen bijna leeg zijn en heeft de politie tijd over! 
Ik denk hetzelfde over Nederlanders in het buitenland, die gaan ook 'klieken' bij elkaar, zij staan er ook bekend ontzettend luidruchtig te zijn en dingen te slopen. Zij moeten zich daar ook gedragen naar de regels van het land en anders: opzouten naar eigen land of flink straffen naar de maatstaven van dat land. Net zo goed. 
Ik ben absoluut niet tegen 'buitenlanders' hier, maar we worden er mee overspoeld, het zijn er veel te veel, zeker omdat dit landje al zo overbevolkt is. Het evenwicht is weg, de OerHollandse mentaliteit verdwijnt en dat vind ik erg jammer.",colonialism,,0,0,0,1,0,0,1,0
R_2AEWrrBb5PyV0EX,1974,Paarse kabinet,pre-polarized society,,0,0,0,0,0,1,0,0
R_2afqg28sRgNVRWG,1973,"Ik verlang niet terug, elke tijd in het leven heeft zijn charmes",NA,,,,,,,,,
R_2afuXTNX9iWB8pX,2001,Het pre-corona tijdperk,pre-polarized society,1,1,0,0,0,0,1,0,0
R_2ahHbELQIHMd0LW,1984,,NA,,,,,,,,,
R_2aIAhiyRuqKpWMh,1965,"niets alleen maar toen ik klein was en geen problemen had.,Als ik wist wat er nu was had ik zeker geen kinderen genomen.alles gaat voor de asielzoekers en status houders maar niet voor ons volk.De regering maakt ons kapot nu weer met energie van 9% naar 21% belachelijk.Bedrijven maken miljoenen winst en Nederland gaat kapot mensen naar de voedselbank en veel schulden.",colonialism,,1,0,0,1,0,0,1,0
R_2aJM1lXAdqfV69R,1962,"2010, de periode in China voor Xi Jingping",pre-polarized society,1,0,0,0,0,0,1,0,0
R_2AKH3t0k5tWeQDK,1962,Mijn 18e verjaardag,personal youth,,1,0,0,0,0,0,0,0
R_2akOAAv4P60Nu6C,1948,de jaren 60 en 70 toen je gewoon je mening kon geven zonder te moeten luisteren naar minderheden die de meerderheid hun wil willen opleggen,pre-polarized society,,0,0,0,0,0,1,0,0
R_2akvvBOIDQTMwXJ,1962,1975,personal youth,,1,0,0,0,1,0,0,0
R_2aKYnWPRXpEMnjW,1992,,NA,,,,,,,,,
R_2aLjR6tFhcB7LOE,1983,,NA,,,,,,,,,
R_2AN0sdBX1tnaZfD,1950,De tijd dat politieke partijen nog luisterden naar mensen en ze niet wilden heropvoeden.,pre-polarized society,,0,0,0,0,0,1,0,0
R_2anJHX30mi5B3hx,1953,"60 er jaren, toen kon je nog je fiets buiten laten staan, toen was er nog gezag, toen hadden we nog "" gewoon "" onze Nederlandse  cultuur en tradities, toen waren er geen joechoslaven, Turken en Marokkanen en was er veel minder criminaliteit, toen waren we nog vriendelijk voor elkaar, toen kreeg ik nog een tik van de juf als ik stout was geweest zonder dat mijn vader "" verhaal "" ging halen, toen werden hulpverleners niet gemolesteerd door agressief, onopgevoed tuig. Etc.etc.",colonialism,,1,0,0,1,1,0,1,0
R_2ansjxYMQ9iVmq0,1969,1990-2015,pre-polarized society,,0,0,0,0,0,1,0,0
R_2aOIOBwHm7eeCZf,1991,,NA,,,,,,,,,
R_2aP6wZehrNko6qq,1967,Geen idee op dit moment,NA,,,,,,,,,
R_2AQf7dVQNOwiidU,1951,Geen enkel,NA,,,,,,,,,
R_2AQfte0sfmHx25E,1950,val van de muur,solidar society,1,0,0,0,0,1,1,0,0
R_2aRE3ELMlDFzC9K,1980,Tijd van vroeger. Voor de euro. Toen alles niet zo duur was. En alles eerlijk was verdeeld voor de Nederlandse volk,nationalism,,0,1,0,1,0,0,0,0
R_2aRIxDpipIM86X3,1955,"1960-1980. In deze periode was vooruitstrevendheid nog iets waar je naar kon verlangen. De cultuur was toen serieus aan het zoeken naar nieuwe wegen. Het serieuze lijkt nu opgeofferd te zijn aan de verslaving aan entertainment. En de kater van wat eenzijdige Westerse vooruitstrevendheid teweeg heeft gebracht in de wereld. De  steeds schrillere roep om meer, leuker en goedkoper heeft veel kapot gemaakt. Domme hebzucht heeft de ongelijkheid astronomisch doen toenemen, en de wereld aan de rand van de afgrond gebracht.",solidar society,,1,0,0,0,1,0,0,0
R_2aRjQbKrp64oun8,1996,"Geen, ik kijk naar de toekomst",NA,,,,,,,,,
R_2aRoBvafyWtS2aB,1960,"de jaren 60 en 70 toen we nog het idee hadden dat alles beter ging worden, toen het nog niet zo idioot druk was als nu en je nog veel groen in je omgeving had, en Nederland nog geen kolonie was voor de moslimwereld en Afrika",colonialism,,1,0,0,1,0,0,1,0
R_2ASEd96j7W9uYpC,1958,Geen,NA,,,,,,,,,
R_2ashgZnZ5ZpriFW,1946,toen normen en waarden nog telden,solidar society,,0,0,0,0,1,0,0,0
R_2at0selnWIVR5dy,2001,2016 was een heel mooi jaar voor mij nog lang niet zo veel gezever als dat er nu is,personal youth,,1,0,0,0,0,0,0,0
R_2at33cpDxQDUsGv,1952,Val van de muur 1989. Tijd van belofte,solidar society,1,0,0,0,0,1,1,0,0
R_2atL1zUH4oxSHQb,1999,geen,NA,,,,,,,,,
R_2aUIXh3C8eVU0rh,1963,,NA,,,,,,,,,
R_2awPv0QvAfuNT1c,1969,Toen er in de wereld meer gelijkheid  en respect was voor mens en natuur.,pre-industrialized society,,0,0,1,0,1,0,0,0
R_2axcOzXK6NDxslz,1943,Mijn jeugd.,personal youth,,1,0,0,0,0,0,0,0
R_2axG6DBTS6yDWLE,1987,Het lijkt voor mij alof er op een gegeven moment niet meer democratisch werd geluisterd naar de bevolking en ipv daarvan een soort communisctische central planning in werd gezet. Ik wil terug naar voor dat moment. Ik wil geen great reset of een van boven ingeleide industriele revolutie.,pre-polarized society,,0,0,0,0,0,1,0,0
R_2aY4J93JXnVL46P,1953,Jaren 70,personal youth,,1,0,0,0,1,0,0,0
R_2aygcHCwyu0T1qF,1955,de jaren 60 van de vorige eeuw,personal youth,,1,0,0,0,1,0,0,0
R_2b19uC1NMlzmZOh,1949,sixties,personal youth,,1,0,0,0,1,0,0,0
R_2b3PMvLNTVZPrEe,1958,Jaren 80,solidar society,,0,0,0,0,1,0,0,0
R_2B4InZVw9ReK4KJ,1994,jeugd toen ik nog geen invloed of gevolgen had van politiek (iets meer dan 10 jaar geleden),personal youth,,1,0,0,0,0,1,0,0
R_2B9ieVpOPAB6vdc,1970,1988-1998,personal youth,,1,0,0,0,0,1,0,0
R_2Ba560haB1IjXYw,1963,geen,NA,,,,,,,,,
R_2BambBwFqJk4ubp,1959,De jaren 60 en 70,personal youth,,1,0,0,0,1,0,0,0
R_2BaPz0cOqqGcHdf,1955,1988 NL Europa kampioen voetbal,NA,,,,,,,,,
R_2BbKCsttqwXgPZq,1973,Jaren 90,pre-polarized society,,1,0,0,0,0,1,0,0
R_2BeOQDNYeeuUMm9,1941,Verkiezing Obama tot president van de V.S.,pre-polarized society,1,0,0,0,0,0,1,0,0
R_2bHU20oZnHYI0qv,1959,Jaren vijftig,solidar society,,0,0,0,0,1,0,0,0
R_2bjl73Jfh1j3ulX,1962,De toekomst,NA,,,,,,,,,
R_2BlJMCacguaVCqP,1956,Geen,NA,,,,,,,,,
R_2bN7t6twDV4aJCi,1978,geen,NA,,,,,,,,,
R_2BnXMmujsx9uWKz,1962,Waarbij rekening werd gehouden met elkaar. Het respecteren van grenzen en vrijheden. Waarbij normen en waarden gerespecteerd werden.,solidar society,,0,0,0,0,0,1,0,0
R_2BspSayVBY0IbMw,1968,,NA,,,,,,,,,
R_2bT9QiF0XQQb2jH,1971,De tijd van minder regelgeving en minder bureaucratie. 1990,personal youth,,1,0,0,0,0,1,0,0
